09:00:02.200,35=D;11=LIT-23;54=2;38=400;44=100.9;100=L;,35=D;11=DRK-23;54=2;38=800;44=100.7;100=D;
09:00:02.300,35=D;11=LIT-24;54=1;38=2400;44=100.6;100=L;,35=D;11=DRK-24;54=1;38=1400;44=100.6;100=D;
09:00:02.400,35=D;11=LIT-25;54=2;38=600;44=100.6;100=L;,35=D;11=DRK-25;54=2;38=800;44=100.7;100=D;
09:00:02.500,35=D;11=LIT-26;54=1;38=1900;44=100.3;100=L;,35=D;11=DRK-26;54=1;38=1500;44=100.4;100=D;
09:00:02.600,35=D;11=LIT-27;54=2;38=2400;44=100.2;100=L;,35=D;11=DRK-27;54=2;38=1000;44=100.3;100=D;
09:00:02.700,35=D;11=LIT-28;54=1;38=1700;44=100.4;100=L;,35=D;11=DRK-28;54=1;38=200;44=100.6;100=D;
09:00:02.800,35=D;11=LIT-29;54=2;38=200;44=100.4;100=L;,35=D;11=DRK-29;54=2;38=900;44=100.5;100=D;,35=D;11=SOR-01;54=1;38=1000000;44=105;100=SOR;
09:00:02.900,35=D;11=LIT-30;54=1;38=1700;44=100.6;100=L;,35=D;11=DRK-30;54=1;38=200;44=100.7;100=D;
09:00:03.000,35=D;11=LIT-31;54=2;38=1900;44=100.4;100=L;,35=D;11=DRK-31;54=2;38=200;44=100.6;100=D;
09:00:03.100,35=D;11=LIT-32;54=1;38=2600;44=100.3;100=L;,35=D;11=DRK-32;54=1;38=1400;44=100.4;100=D;
09:00:03.200,35=D;11=LIT-33;54=2;38=600;44=100.3;100=L;,35=D;11=DRK-33;54=2;38=500;44=100.3;100=D;
09:00:03.300,35=D;11=LIT-34;54=1;38=900;44=100.2;100=L;,35=D;11=DRK-34;54=1;38=1100;44=100.2;100=D;
09:00:03.400,35=D;11=LIT-35;54=2;38=300;44=100.5;100=L;,35=D;11=DRK-35;54=2;38=600;44=100.4;100=D;
09:00:03.500,35=D;11=LIT-36;54=1;38=2100;44=100.5;100=L;,35=D;11=DRK-36;54=1;38=400;44=100.5;100=D;
09:00:03.600,35=D;11=LIT-37;54=2;38=500;44=100.7;100=L;,35=D;11=DRK-37;54=2;38=100;44=100.7;100=D;
09:00:03.700,35=D;11=LIT-38;54=1;38=1600;44=100.7;100=L;,35=D;11=DRK-38;54=1;38=1200;44=100.8;100=D;
09:00:03.800,35=D;11=LIT-39;54=2;38=1200;44=100.6;100=L;,35=D;11=DRK-39;54=2;38=1200;44=100.8;100=D;
09:00:03.900,35=D;11=LIT-40;54=1;38=2200;44=100.5;100=L;,35=D;11=DRK-40;54=1;38=1100;44=100.5;100=D;
09:00:04.000,35=D;11=LIT-41;54=2;38=1100;44=100.5;100=L;,35=D;11=DRK-41;54=2;38=400;44=100.3;100=D;
09:00:04.100,35=D;11=LIT-42;54=1;38=1900;44=100.1;100=L;,35=D;11=DRK-42;54=1;38=1100;44=100.3;100=D;
09:00:04.200,35=D;11=LIT-43;54=2;38=800;44=100.2;100=L;,35=D;11=DRK-43;54=2;38=1200;44=100.3;100=D;
09:00:04.300,35=D;11=LIT-44;54=1;38=2500;44=100.1;100=L;,35=D;11=DRK-44;54=1;38=1400;44=100.2;100=D;
09:00:04.400,35=D;11=LIT-45;54=2;38=1500;44=99.9;100=L;,35=D;11=DRK-45;54=2;38=900;44=99.8;100=D;
09:00:04.500,35=D;11=LIT-46;54=1;38=500;44=99.9;100=L;,35=D;11=DRK-46;54=1;38=700;44=100.0;100=D;
09:00:04.600,35=D;11=LIT-47;54=2;38=1700;44=99.6;100=L;,35=D;11=DRK-47;54=2;38=1400;44=99.6;100=D;
09:00:04.700,35=D;11=LIT-48;54=1;38=200;44=99.5;100=L;,35=D;11=DRK-48;54=1;38=900;44=99.6;100=D;
09:00:04.800,35=D;11=LIT-49;54=2;38=800;44=99.2;100=L;,35=D;11=DRK-49;54=2;38=400;44=99.3;100=D;
09:00:04.900,35=D;11=LIT-50;54=1;38=1800;44=99.2;100=L;,35=D;11=DRK-50;54=1;38=900;44=99.4;100=D;
09:00:05.000,35=D;11=LIT-51;54=2;38=1700;44=99.3;100=L;,35=D;11=DRK-51;54=2;38=700;44=99.2;100=D;
09:00:05.100,35=D;11=LIT-52;54=1;38=1300;44=99.2;100=L;,35=D;11=DRK-52;54=1;38=500;44=99.1;100=D;
09:00:05.200,35=D;11=LIT-53;54=2;38=1000;44=98.9;100=L;,35=D;11=DRK-53;54=2;38=300;44=98.9;100=D;
09:00:05.300,35=D;11=LIT-54;54=1;38=400;44=98.8;100=L;,35=D;11=DRK-54;54=1;38=300;44=98.7;100=D;
09:00:05.400,35=D;11=LIT-55;54=2;38=3000;44=98.8;100=L;,35=D;11=DRK-55;54=2;38=600;44=99.0;100=D;
09:00:05.500,35=D;11=LIT-56;54=1;38=1200;44=98.9;100=L;,35=D;11=DRK-56;54=1;38=600;44=99.1;100=D;
09:00:05.600,35=D;11=LIT-57;54=2;38=300;44=98.9;100=L;,35=D;11=DRK-57;54=2;38=1300;44=98.9;100=D;
09:00:05.700,35=D;11=LIT-58;54=1;38=2500;44=98.8;100=L;,35=D;11=DRK-58;54=1;38=900;44=98.7;100=D;
09:00:05.800,35=D;11=LIT-59;54=2;38=2000;44=98.6;100=L;,35=D;11=DRK-59;54=2;38=800;44=98.5;100=D;
09:00:05.900,35=D;11=LIT-60;54=1;38=800;44=98.9;100=L;,35=D;11=DRK-60;54=1;38=1400;44=98.8;100=D;
09:00:06.000,35=D;11=LIT-61;54=2;38=2400;44=98.8;100=L;,35=D;11=DRK-61;54=2;38=800;44=98.7;100=D;
09:00:06.100,35=D;11=LIT-62;54=1;38=2600;44=98.8;100=L;,35=D;11=DRK-62;54=1;38=800;44=98.6;100=D;
09:00:06.200,35=D;11=LIT-63;54=2;38=3000;44=98.7;100=L;,35=D;11=DRK-63;54=2;38=100;44=98.7;100=D;
09:00:06.300,35=D;11=LIT-64;54=1;38=1100;44=98.5;100=L;,35=D;11=DRK-64;54=1;38=1400;44=98.7;100=D;
09:00:06.400,35=D;11=LIT-65;54=2;38=900;44=98.9;100=L;,35=D;11=DRK-65;54=2;38=1100;44=98.9;100=D;
09:00:06.500,35=D;11=LIT-66;54=1;38=1600;44=98.8;100=L;,35=D;11=DRK-66;54=1;38=1100;44=98.7;100=D;
09:00:06.600,35=D;11=LIT-67;54=2;38=2100;44=98.6;100=L;,35=D;11=DRK-67;54=2;38=700;44=98.7;100=D;
09:00:06.700,35=D;11=LIT-68;54=1;38=2900;44=98.8;100=L;,35=D;11=DRK-68;54=1;38=1400;44=98.8;100=D;
09:00:06.800,35=D;11=LIT-69;54=2;38=1800;44=98.9;100=L;,35=D;11=DRK-69;54=2;38=1200;44=98.7;100=D;
09:00:06.900,35=D;11=LIT-70;54=1;38=200;44=99.0;100=L;,35=D;11=DRK-70;54=1;38=600;44=98.9;100=D;
09:00:07.000,35=D;11=LIT-71;54=2;38=500;44=99.2;100=L;,35=D;11=DRK-71;54=2;38=1300;44=99.0;100=D;
09:00:07.100,35=D;11=LIT-72;54=1;38=3000;44=99.3;100=L;,35=D;11=DRK-72;54=1;38=600;44=99.2;100=D;
09:00:07.200,35=D;11=LIT-73;54=2;38=2700;44=99.4;100=L;,35=D;11=DRK-73;54=2;38=100;44=99.4;100=D;
09:00:07.300,35=D;11=LIT-74;54=1;38=800;44=99.4;100=L;,35=D;11=DRK-74;54=1;38=1500;44=99.5;100=D;
09:00:07.400,35=D;11=LIT-75;54=2;38=400;44=99.6;100=L;,35=D;11=DRK-75;54=2;38=600;44=99.7;100=D;
09:00:07.500,35=D;11=LIT-76;54=1;38=800;44=99.5;100=L;,35=D;11=DRK-76;54=1;38=300;44=99.4;100=D;
09:00:07.600,35=D;11=LIT-77;54=2;38=2100;44=99.1;100=L;,35=D;11=DRK-77;54=2;38=1000;44=99.2;100=D;
09:00:07.700,35=D;11=LIT-78;54=1;38=2400;44=99.5;100=L;,35=D;11=DRK-78;54=1;38=300;44=99.3;100=D;
09:00:07.800,35=D;11=LIT-79;54=2;38=1000;44=99.2;100=L;,35=D;11=DRK-79;54=2;38=200;44=99.4;100=D;
09:00:07.900,35=D;11=LIT-80;54=1;38=900;44=99.3;100=L;,35=D;11=DRK-80;54=1;38=1100;44=99.3;100=D;
09:00:08.000,35=D;11=LIT-81;54=2;38=1800;44=99.2;100=L;,35=D;11=DRK-81;54=2;38=1000;44=99.3;100=D;
09:00:08.100,35=D;11=LIT-82;54=1;38=2500;44=99.2;100=L;,35=D;11=DRK-82;54=1;38=400;44=99.1;100=D;
09:00:08.200,35=D;11=LIT-83;54=2;38=1800;44=99.1;100=L;,35=D;11=DRK-83;54=2;38=900;44=99.2;100=D;
09:00:08.300,35=D;11=LIT-84;54=1;38=2300;44=99.2;100=L;,35=D;11=DRK-84;54=1;38=1100;44=99.3;100=D;
09:00:08.400,35=D;11=LIT-85;54=2;38=1500;44=99.3;100=L;,35=D;11=DRK-85;54=2;38=400;44=99.2;100=D;
09:00:08.500,35=D;11=LIT-86;54=1;38=2500;44=99.1;100=L;,35=D;11=DRK-86;54=1;38=1200;44=99.1;100=D;
09:00:08.600,35=D;11=LIT-87;54=2;38=3000;44=98.9;100=L;,35=D;11=DRK-87;54=2;38=1200;44=99.1;100=D;
09:00:08.700,35=D;11=LIT-88;54=1;38=2800;44=98.9;100=L;,35=D;11=DRK-88;54=1;38=1200;44=98.8;100=D;
09:00:08.800,35=D;11=LIT-89;54=2;38=2200;44=98.9;100=L;,35=D;11=DRK-89;54=2;38=600;44=98.7;100=D;
09:00:08.900,35=D;11=LIT-90;54=1;38=2700;44=98.8;100=L;,35=D;11=DRK-90;54=1;38=600;44=98.7;100=D;
09:00:09.000,35=D;11=LIT-91;54=2;38=1200;44=98.7;100=L;,35=D;11=DRK-91;54=2;38=1000;44=98.8;100=D;
09:00:09.100,35=D;11=LIT-92;54=1;38=1900;44=98.9;100=L;,35=D;11=DRK-92;54=1;38=1300;44=98.9;100=D;
09:00:09.200,35=D;11=LIT-93;54=2;38=1600;44=98.7;100=L;,35=D;11=DRK-93;54=2;38=1400;44=98.5;100=D;
09:00:09.300,35=D;11=LIT-94;54=1;38=1100;44=98.4;100=L;,35=D;11=DRK-94;54=1;38=1500;44=98.4;100=D;
09:00:09.400,35=D;11=LIT-95;54=2;38=800;44=98.6;100=L;,35=D;11=DRK-95;54=2;38=1200;44=98.5;100=D;
09:00:09.500,35=D;11=LIT-96;54=1;38=800;44=98.6;100=L;,35=D;11=DRK-96;54=1;38=1000;44=98.6;100=D;
09:00:09.600,35=D;11=LIT-97;54=2;38=2800;44=98.6;100=L;,35=D;11=DRK-97;54=2;38=600;44=98.6;100=D;
09:00:09.700,35=D;11=LIT-98;54=1;38=2300;44=98.7;100=L;,35=D;11=DRK-98;54=1;38=500;44=98.7;100=D;
09:00:09.800,35=D;11=LIT-99;54=2;38=1900;44=98.6;100=L;,35=D;11=DRK-99;54=2;38=1100;44=98.6;100=D;
09:00:09.900,35=D;11=LIT-100;54=1;38=900;44=98.7;100=L;,35=D;11=DRK-100;54=1;38=600;44=98.7;100=D;
09:00:10.000,35=D;11=LIT-101;54=2;38=2000;44=98.8;100=L;,35=D;11=DRK-101;54=2;38=100;44=98.7;100=D;
09:00:10.100,35=D;11=LIT-102;54=1;38=2000;44=98.6;100=L;,35=D;11=DRK-102;54=1;38=400;44=98.6;100=D;
09:00:10.200,35=D;11=LIT-103;54=2;38=1100;44=98.6;100=L;,35=D;11=DRK-103;54=2;38=1500;44=98.7;100=D;
09:00:10.300,35=D;11=LIT-104;54=1;38=1800;44=98.8;100=L;,35=D;11=DRK-104;54=1;38=800;44=98.9;100=D;
09:00:10.400,35=D;11=LIT-105;54=2;38=1400;44=98.6;100=L;,35=D;11=DRK-105;54=2;38=400;44=98.7;100=D;
09:00:10.500,35=D;11=LIT-106;54=1;38=3000;44=98.8;100=L;,35=D;11=DRK-106;54=1;38=1500;44=98.7;100=D;
09:00:10.600,35=D;11=LIT-107;54=2;38=1700;44=99.0;100=L;,35=D;11=DRK-107;54=2;38=1400;44=98.8;100=D;
09:00:10.700,35=D;11=LIT-108;54=1;38=2200;44=98.8;100=L;,35=D;11=DRK-108;54=1;38=600;44=98.8;100=D;
09:00:10.800,35=D;11=LIT-109;54=2;38=600;44=98.8;100=L;,35=D;11=DRK-109;54=2;38=1300;44=98.7;100=D;
09:00:10.900,35=D;11=LIT-110;54=1;38=2500;44=98.7;100=L;,35=D;11=DRK-110;54=1;38=1100;44=98.5;100=D;
09:00:11.000,35=D;11=LIT-111;54=2;38=2700;44=98.7;100=L;,35=D;11=DRK-111;54=2;38=200;44=98.6;100=D;
09:00:11.100,35=D;11=LIT-112;54=1;38=200;44=98.8;100=L;,35=D;11=DRK-112;54=1;38=1000;44=98.6;100=D;
09:00:11.200,35=D;11=LIT-113;54=2;38=2700;44=98.6;100=L;,35=D;11=DRK-113;54=2;38=300;44=98.4;100=D;
09:00:11.300,35=D;11=LIT-114;54=1;38=1800;44=98.5;100=L;,35=D;11=DRK-114;54=1;38=1500;44=98.6;100=D;
09:00:11.400,35=D;11=LIT-115;54=2;38=1600;44=98.8;100=L;,35=D;11=DRK-115;54=2;38=1200;44=98.6;100=D;
09:00:11.500,35=D;11=LIT-116;54=1;38=200;44=98.7;100=L;,35=D;11=DRK-116;54=1;38=1300;44=98.7;100=D;
09:00:11.600,35=D;11=LIT-117;54=2;38=2000;44=98.6;100=L;,35=D;11=DRK-117;54=2;38=300;44=98.7;100=D;
09:00:11.700,35=D;11=LIT-118;54=1;38=2900;44=98.6;100=L;,35=D;11=DRK-118;54=1;38=700;44=98.6;100=D;
09:00:11.800,35=D;11=LIT-119;54=2;38=2100;44=98.5;100=L;,35=D;11=DRK-119;54=2;38=1400;44=98.5;100=D;
09:00:11.900,35=D;11=LIT-120;54=1;38=2300;44=98.6;100=L;,35=D;11=DRK-120;54=1;38=1300;44=98.4;100=D;
09:00:12.000,35=D;11=LIT-121;54=2;38=800;44=98.4;100=L;,35=D;11=DRK-121;54=2;38=500;44=98.5;100=D;
09:00:12.100,35=D;11=LIT-122;54=1;38=2000;44=98.8;100=L;,35=D;11=DRK-122;54=1;38=1200;44=98.7;100=D;
09:00:12.200,35=D;11=LIT-123;54=2;38=1900;44=98.8;100=L;,35=D;11=DRK-123;54=2;38=1100;44=98.9;100=D;
09:00:12.300,35=D;11=LIT-124;54=1;38=1400;44=99.2;100=L;,35=D;11=DRK-124;54=1;38=1000;44=99.2;100=D;
09:00:12.400,35=D;11=LIT-125;54=2;38=1400;44=98.9;100=L;,35=D;11=DRK-125;54=2;38=900;44=99.1;100=D;
09:00:12.500,35=D;11=LIT-126;54=1;38=1500;44=99.2;100=L;,35=D;11=DRK-126;54=1;38=1300;44=99.3;100=D;
09:00:12.600,35=D;11=LIT-127;54=2;38=1800;44=99.3;100=L;,35=D;11=DRK-127;54=2;38=100;44=99.4;100=D;
09:00:12.700,35=D;11=LIT-128;54=1;38=1400;44=99.7;100=L;,35=D;11=DRK-128;54=1;38=600;44=99.7;100=D;
09:00:12.800,35=D;11=LIT-129;54=2;38=300;44=99.5;100=L;,35=D;11=DRK-129;54=2;38=1200;44=99.7;100=D;
09:00:12.900,35=D;11=LIT-130;54=1;38=1400;44=99.5;100=L;,35=D;11=DRK-130;54=1;38=100;44=99.4;100=D;
09:00:13.000,35=D;11=LIT-131;54=2;38=2500;44=99.4;100=L;,35=D;11=DRK-131;54=2;38=1400;44=99.2;100=D;
09:00:13.100,35=D;11=LIT-132;54=1;38=3000;44=99.0;100=L;,35=D;11=DRK-132;54=1;38=500;44=99.1;100=D;
09:00:13.200,35=D;11=LIT-133;54=2;38=2200;44=99.2;100=L;,35=D;11=DRK-133;54=2;38=100;44=99.3;100=D;
09:00:13.300,35=D;11=LIT-134;54=1;38=1600;44=99.2;100=L;,35=D;11=DRK-134;54=1;38=1000;44=99.1;100=D;
09:00:13.400,35=D;11=LIT-135;54=2;38=700;44=99.3;100=L;,35=D;11=DRK-135;54=2;38=800;44=99.5;100=D;
09:00:13.500,35=D;11=LIT-136;54=1;38=1700;44=99.5;100=L;,35=D;11=DRK-136;54=1;38=300;44=99.6;100=D;
09:00:13.600,35=D;11=LIT-137;54=2;38=400;44=99.7;100=L;,35=D;11=DRK-137;54=2;38=900;44=99.8;100=D;
09:00:13.700,35=D;11=LIT-138;54=1;38=2200;44=100.0;100=L;,35=D;11=DRK-138;54=1;38=1500;44=99.9;100=D;
09:00:13.800,35=D;11=LIT-139;54=2;38=1200;44=99.6;100=L;,35=D;11=DRK-139;54=2;38=1000;44=99.7;100=D;
09:00:13.900,35=D;11=LIT-140;54=1;38=1900;44=99.8;100=L;,35=D;11=DRK-140;54=1;38=900;44=99.6;100=D;
09:00:14.000,35=D;11=LIT-141;54=2;38=600;44=99.8;100=L;,35=D;11=DRK-141;54=2;38=900;44=99.9;100=D;
09:00:14.100,35=D;11=LIT-142;54=1;38=2300;44=99.8;100=L;,35=D;11=DRK-142;54=1;38=1400;44=99.6;100=D;
09:00:14.200,35=D;11=LIT-143;54=2;38=1900;44=99.6;100=L;,35=D;11=DRK-143;54=2;38=600;44=99.7;100=D;
09:00:14.300,35=D;11=LIT-144;54=1;38=700;44=99.9;100=L;,35=D;11=DRK-144;54=1;38=900;44=99.8;100=D;
09:00:14.400,35=D;11=LIT-145;54=2;38=1800;44=100.0;100=L;,35=D;11=DRK-145;54=2;38=400;44=100.1;100=D;
09:00:14.500,35=D;11=LIT-146;54=1;38=2800;44=100.1;100=L;,35=D;11=DRK-146;54=1;38=800;44=100.1;100=D;
09:00:14.600,35=D;11=LIT-147;54=2;38=2400;44=100.2;100=L;,35=D;11=DRK-147;54=2;38=1400;44=100.2;100=D;
09:00:14.700,35=D;11=LIT-148;54=1;38=1300;44=100.0;100=L;,35=D;11=DRK-148;54=1;38=1000;44=100.0;100=D;
09:00:14.800,35=D;11=LIT-149;54=2;38=1500;44=99.9;100=L;,35=D;11=DRK-149;54=2;38=900;44=99.9;100=D;
09:00:14.900,35=D;11=LIT-150;54=1;38=1000;44=99.8;100=L;,35=D;11=DRK-150;54=1;38=1300;44=99.8;100=D;
09:00:15.000,35=D;11=LIT-151;54=2;38=500;44=100.0;100=L;,35=D;11=DRK-151;54=2;38=300;44=99.9;100=D;
09:00:15.100,35=D;11=LIT-152;54=1;38=200;44=99.9;100=L;,35=D;11=DRK-152;54=1;38=200;44=100.0;100=D;
09:00:15.200,35=D;11=LIT-153;54=2;38=2100;44=100.0;100=L;,35=D;11=DRK-153;54=2;38=1100;44=99.8;100=D;
09:00:15.300,35=D;11=LIT-154;54=1;38=2400;44=99.9;100=L;,35=D;11=DRK-154;54=1;38=1300;44=99.7;100=D;
09:00:15.400,35=D;11=LIT-155;54=2;38=2800;44=99.8;100=L;,35=D;11=DRK-155;54=2;38=500;44=99.9;100=D;
09:00:15.500,35=D;11=LIT-156;54=1;38=2000;44=99.6;100=L;,35=D;11=DRK-156;54=1;38=1500;44=99.6;100=D;
09:00:15.600,35=D;11=LIT-157;54=2;38=2400;44=99.9;100=L;,35=D;11=DRK-157;54=2;38=1400;44=100.0;100=D;
09:00:15.700,35=D;11=LIT-158;54=1;38=2000;44=99.9;100=L;,35=D;11=DRK-158;54=1;38=300;44=99.7;100=D;
09:00:15.800,35=D;11=LIT-159;54=2;38=1400;44=99.5;100=L;,35=D;11=DRK-159;54=2;38=1200;44=99.6;100=D;,35=D;11=SOR-02;54=2;38=1000;44=100;100=SOR;
09:00:15.900,35=D;11=LIT-160;54=1;38=2900;44=99.7;100=L;,35=D;11=DRK-160;54=1;38=600;44=99.7;100=D;
09:00:16.000,35=D;11=LIT-161;54=2;38=1500;44=99.8;100=L;,35=D;11=DRK-161;54=2;38=100;44=99.7;100=D;
09:00:16.100,35=D;11=LIT-162;54=1;38=2900;44=99.5;100=L;,35=D;11=DRK-162;54=1;38=800;44=99.6;100=D;
09:00:16.200,35=D;11=LIT-163;54=2;38=1100;44=99.6;100=L;,35=D;11=DRK-163;54=2;38=1500;44=99.8;100=D;
09:00:16.300,35=D;11=LIT-164;54=1;38=900;44=99.4;100=L;,35=D;11=DRK-164;54=1;38=1200;44=99.6;100=D;
09:00:16.400,35=D;11=LIT-165;54=2;38=3000;44=99.6;100=L;,35=D;11=DRK-165;54=2;38=1400;44=99.8;100=D;
09:00:16.500,35=D;11=LIT-166;54=1;38=900;44=99.4;100=L;,35=D;11=DRK-166;54=1;38=600;44=99.6;100=D;
09:00:16.600,35=D;11=LIT-167;54=2;38=2600;44=99.7;100=L;,35=D;11=DRK-167;54=2;38=900;44=99.7;100=D;
09:00:16.700,35=D;11=LIT-168;54=1;38=3000;44=99.5;100=L;,35=D;11=DRK-168;54=1;38=1300;44=99.5;100=D;
09:00:16.800,35=D;11=LIT-169;54=2;38=400;44=99.6;100=L;,35=D;11=DRK-169;54=2;38=500;44=99.6;100=D;
09:00:16.900,35=D;11=LIT-170;54=1;38=300;44=99.5;100=L;,35=D;11=DRK-170;54=1;38=300;44=99.4;100=D;
09:00:17.000,35=D;11=LIT-171;54=2;38=1600;44=99.4;100=L;,35=D;11=DRK-171;54=2;38=200;44=99.6;100=D;
09:00:17.100,35=D;11=LIT-172;54=1;38=2700;44=99.3;100=L;,35=D;11=DRK-172;54=1;38=400;44=99.5;100=D;
09:00:17.200,35=D;11=LIT-173;54=2;38=2200;44=99.4;100=L;,35=D;11=DRK-173;54=2;38=1100;44=99.4;100=D;
09:00:17.300,35=D;11=LIT-174;54=1;38=2900;44=99.3;100=L;,35=D;11=DRK-174;54=1;38=700;44=99.5;100=D;
09:00:17.400,35=D;11=LIT-175;54=2;38=2300;44=99.4;100=L;,35=D;11=DRK-175;54=2;38=200;44=99.5;100=D;
09:00:17.500,35=D;11=LIT-176;54=1;38=2400;44=99.2;100=L;,35=D;11=DRK-176;54=1;38=500;44=99.2;100=D;
09:00:17.600,35=D;11=LIT-177;54=2;38=1500;44=99.5;100=L;,35=D;11=DRK-177;54=2;38=500;44=99.5;100=D;
09:00:17.700,35=D;11=LIT-178;54=1;38=1600;44=99.3;100=L;,35=D;11=DRK-178;54=1;38=600;44=99.5;100=D;
09:00:17.800,35=D;11=LIT-179;54=2;38=2000;44=99.7;100=L;,35=D;11=DRK-179;54=2;38=600;44=99.6;100=D;
09:00:17.900,35=D;11=LIT-180;54=1;38=2400;44=99.4;100=L;,35=D;11=DRK-180;54=1;38=1200;44=99.4;100=D;
09:00:18.000,35=D;11=LIT-181;54=2;38=2400;44=99.3;100=L;,35=D;11=DRK-181;54=2;38=200;44=99.2;100=D;
09:00:18.100,35=D;11=LIT-182;54=1;38=1800;44=99.2;100=L;,35=D;11=DRK-182;54=1;38=300;44=99.2;100=D;
09:00:18.200,35=D;11=LIT-183;54=2;38=1000;44=99.2;100=L;,35=D;11=DRK-183;54=2;38=200;44=99.2;100=D;
09:00:18.300,35=D;11=LIT-184;54=1;38=400;44=99.0;100=L;,35=D;11=DRK-184;54=1;38=200;44=99.0;100=D;
09:00:18.400,35=D;11=LIT-185;54=2;38=700;44=99.0;100=L;,35=D;11=DRK-185;54=2;38=1300;44=99.0;100=D;
09:00:18.500,35=D;11=LIT-186;54=1;38=2600;44=98.9;100=L;,35=D;11=DRK-186;54=1;38=1400;44=98.9;100=D;
09:00:18.600,35=D;11=LIT-187;54=2;38=700;44=99.0;100=L;,35=D;11=DRK-187;54=2;38=300;44=99.1;100=D;
09:00:18.700,35=D;11=LIT-188;54=1;38=400;44=99.0;100=L;,35=D;11=DRK-188;54=1;38=600;44=99.0;100=D;
09:00:18.800,35=D;11=LIT-189;54=2;38=2700;44=99.0;100=L;,35=D;11=DRK-189;54=2;38=1500;44=99.0;100=D;
09:00:18.900,35=D;11=LIT-190;54=1;38=900;44=99.2;100=L;,35=D;11=DRK-190;54=1;38=1000;44=99.1;100=D;
09:00:19.000,35=D;11=LIT-191;54=2;38=800;44=99.0;100=L;,35=D;11=DRK-191;54=2;38=600;44=99.1;100=D;
09:00:19.100,35=D;11=LIT-192;54=1;38=200;44=99.0;100=L;,35=D;11=DRK-192;54=1;38=1100;44=99.1;100=D;
09:00:19.200,35=D;11=LIT-193;54=2;38=1800;44=98.8;100=L;,35=D;11=DRK-193;54=2;38=600;44=98.8;100=D;
09:00:19.300,35=D;11=LIT-194;54=1;38=1700;44=99.1;100=L;,35=D;11=DRK-194;54=1;38=600;44=98.9;100=D;
09:00:19.400,35=D;11=LIT-195;54=2;38=200;44=99.0;100=L;,35=D;11=DRK-195;54=2;38=900;44=99.1;100=D;
